Script started on Sun 26 Nov 2017 12:51:08 PM EST
]0;alex@alex-obsidubuntu: ~/live/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/live/ae[00m$ exitpy autoencoder.py
2017-11-26 12:51:10.492277: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 12:51:10.614521: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 12:51:10.614832: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.04GiB
2017-11-26 12:51:10.614851: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46124.2734 | Layer 1 | Epoch 1  |
|            30 |    45356.7266 | Layer 1 | Epoch 1  |
|            60 |    45353.4141 | Layer 1 | Epoch 1  |
|            90 |    45308.0234 | Layer 1 | Epoch 2  |
|           120 |    45239.6641 | Layer 1 | Epoch 2  |
|           150 |    45198.5898 | Layer 1 | Epoch 3  |
|           180 |    45213.4922 | Layer 1 | Epoch 3  |
|           210 |    45065.5156 | Layer 1 | Epoch 4  |
|           240 |    45005.6680 | Layer 1 | Epoch 4  |
|           270 |    45064.1953 | Layer 1 | Epoch 5  |
|           300 |    44889.1641 | Layer 1 | Epoch 5  |
|           330 |    45113.6719 | Layer 1 | Epoch 6  |
|           360 |    44714.4414 | Layer 1 | Epoch 6  |
|           390 |    44527.7891 | Layer 1 | Epoch 7  |
|           420 |    44887.7578 | Layer 1 | Epoch 7  |
|           450 |    44043.6875 | Layer 1 | Epoch 8  |
|           480 |    44077.3359 | Layer 1 | Epoch 8  |
|           510 |    44063.2695 | Layer 1 | Epoch 9  |
|           540 |    44231.3047 | Layer 1 | Epoch 9  |
|           570 |    44030.8438 | Layer 1 | Epoch 10  |
|           600 |    43692.9062 | Layer 1 | Epoch 10  |
|           630 |    43720.1484 | Layer 1 | Epoch 11  |
|           660 |    43629.8828 | Layer 1 | Epoch 11  |
|           690 |    44278.7930 | Layer 1 | Epoch 12  |
|           720 |    44036.4453 | Layer 1 | Epoch 12  |
|           750 |    43051.6641 | Layer 1 | Epoch 13  |
|           780 |    43290.1484 | Layer 1 | Epoch 13  |
|           810 |    43900.2773 | Layer 1 | Epoch 14  |
|           840 |    43757.9414 | Layer 1 | Epoch 14  |
|           870 |    44231.6328 | Layer 1 | Epoch 15  |
|           900 |    43636.8125 | Layer 1 | Epoch 15  |
|           930 |    44131.2578 | Layer 1 | Epoch 16  |
|           960 |    42975.4922 | Layer 1 | Epoch 16  |
|           990 |    42757.3711 | Layer 1 | Epoch 17  |
|          1020 |    42974.5195 | Layer 1 | Epoch 17  |
|          1050 |    42687.6016 | Layer 1 | Epoch 18  |
|          1080 |    42307.9609 | Layer 1 | Epoch 18  |
|          1110 |    42277.4766 | Layer 1 | Epoch 19  |
|          1140 |    43112.2969 | Layer 1 | Epoch 19  |
|          1170 |    42636.6367 | Layer 1 | Epoch 20  |
|          1200 |    42787.1875 | Layer 1 | Epoch 20  |
|          1230 |    42592.5117 | Layer 1 | Epoch 21  |
|          1260 |    42740.0859 | Layer 1 | Epoch 21  |
|          1290 |    42936.3398 | Layer 1 | Epoch 22  |
|          1320 |    42959.9297 | Layer 1 | Epoch 22  |
|          1350 |    42230.8242 | Layer 1 | Epoch 23  |
|          1380 |    41765.5508 | Layer 1 | Epoch 23  |
|          1410 |    42392.3359 | Layer 1 | Epoch 24  |
|          1440 |    43268.3672 | Layer 1 | Epoch 24  |
|          1470 |    42058.6016 | Layer 1 | Epoch 25  |
|          1500 |    42683.7266 | Layer 1 | Epoch 25  |
|          1530 |    42397.7852 | Layer 1 | Epoch 26  |
|          1560 |    43126.1055 | Layer 1 | Epoch 26  |
|          1590 |    43285.7969 | Layer 1 | Epoch 27  |
|          1620 |    41915.3047 | Layer 1 | Epoch 27  |
|          1650 |    43332.2266 | Layer 1 | Epoch 28  |
|          1680 |    41976.0312 | Layer 1 | Epoch 28  |
|          1710 |    42468.6641 | Layer 1 | Epoch 29  |
|          1740 |    42441.0078 | Layer 1 | Epoch 29  |
|          1770 |    41034.8359 | Layer 1 | Epoch 30  |
|          1800 |    42770.6992 | Layer 1 | Epoch 30  |
|          1830 |    42146.5117 | Layer 1 | Epoch 31  |
|          1860 |    41963.4922 | Layer 1 | Epoch 31  |
